Lon,Lat,Mask,Conf,brt_t13(K),frp(MW),line,sample,Sat,YearDay,Hour
127.077736,-23.815729,9,100,369.969696,223.182907,359,3078,NDE,2018312,0417
127.065231,-23.816563,9,100,362.796143,180.692596,359,3079,NDE,2018312,0417
126.318748,-23.836506,8,63,323.696014,30.447964,361,3134,NDE,2018312,0417
126.232903,-23.841684,9,92,344.310577,105.010208,361,3140,NDE,2018312,0417
126.246201,-23.826719,9,99,358.902740,178.416412,362,3139,NDE,2018312,0417
126.231857,-23.827574,9,99,358.026001,173.392593,362,3140,NDE,2018312,0417
126.259705,-23.811771,8,57,323.737366,28.458014,363,3138,NDE,2018312,0417
126.173180,-23.816828,9,93,346.316132,122.048767,363,3144,NDE,2018312,0417
126.158707,-23.817663,9,87,336.556580,81.098007,363,3145,NDE,2018312,0417
126.324486,-23.830837,8,57,323.781403,27.441795,370,3133,NDE,2018312,0417
126.238861,-23.836498,8,74,357.509186,167.570389,370,3139,NDE,2018312,0417
126.237892,-23.822395,9,99,358.826477,179.886841,371,3139,NDE,2018312,0417
126.179375,-23.811979,9,85,333.306793,69.398125,372,3143,NDE,2018312,0417
126.164917,-23.812912,9,100,363.744385,227.150055,372,3144,NDE,2018312,0417
148.455856,-20.815189,8,78,324.900543,29.854544,374,668,NDE,2018312,0417
148.428314,-20.800383,9,87,335.631195,47.125610,376,670,NDE,2018312,0417
148.438080,-20.788143,8,68,320.673981,21.857191,377,669,NDE,2018312,0417
146.599991,-19.518606,7,28,325.200623,15.907567,618,801,NDE,2018312,0417
139.475433,-20.736828,9,80,335.049377,14.305977,619,1657,NDE,2018312,0417
146.549973,-19.465868,9,86,337.635284,35.741898,629,804,NDE,2018312,0417
145.961761,-18.863434,8,59,320.574585,13.566270,732,848,NDE,2018312,0417
145.960251,-18.854710,9,80,331.523041,25.799601,733,848,NDE,2018312,0417
145.960480,-18.854528,8,60,330.685333,25.328629,737,847,NDE,2018312,0417
145.764832,-18.855110,9,92,346.217224,44.055889,741,869,NDE,2018312,0417
145.756393,-18.856674,9,100,364.736237,88.413307,741,870,NDE,2018312,0417
145.762924,-18.846558,8,51,326.372131,14.038481,742,869,NDE,2018312,0417
145.777969,-18.834829,8,38,329.270081,15.665348,743,867,NDE,2018312,0417
145.869064,-18.600840,7,24,314.996918,7.283546,7,850,NDE,2018312,0419
145.787445,-18.616211,8,65,326.465240,17.871971,7,859,NDE,2018312,0419
145.792831,-18.597284,8,71,322.924988,15.787654,9,858,NDE,2018312,0419
126.195602,-21.086912,8,43,317.767700,15.330985,22,3114,NDE,2018312,0419
126.029831,-21.043196,8,74,327.049591,41.797646,26,3126,NDE,2018312,0419
126.002350,-21.045141,9,80,330.524719,51.344193,26,3128,NDE,2018312,0419
125.988564,-21.046114,9,99,359.670471,185.908112,26,3129,NDE,2018312,0419
125.974709,-21.047091,9,99,359.670471,188.137558,26,3130,NDE,2018312,0419
125.960815,-21.048071,9,87,337.116943,78.381599,26,3131,NDE,2018312,0419
125.947006,-21.049049,9,100,383.448914,383.868286,26,3132,NDE,2018312,0419
125.933159,-21.050022,9,100,371.661682,276.934235,26,3133,NDE,2018312,0419
125.834335,-21.042786,8,74,323.573914,34.268612,27,3140,NDE,2018312,0419
125.847397,-21.027725,8,60,332.990112,55.545238,28,3139,NDE,2018312,0419
125.833260,-21.028688,9,100,367.697754,242.152969,28,3140,NDE,2018312,0419
125.818939,-21.029665,7,27,325.041718,35.029076,28,3141,NDE,2018312,0419
125.929825,-21.007992,8,56,324.192352,34.719944,29,3133,NDE,2018312,0419
125.915878,-21.008938,8,61,328.449097,45.689705,29,3134,NDE,2018312,0419
125.860252,-21.012709,8,40,325.357758,28.744680,29,3138,NDE,2018312,0419
125.846138,-21.013662,8,75,360.830017,185.838043,29,3139,NDE,2018312,0419
125.832108,-21.014603,8,75,381.470367,364.720184,29,3140,NDE,2018312,0419
